Designator,Mid X,Mid Y,Rotation,Layer
AE301,35.05,-4.85,90.0,top
C201,23.4,-26.8,90.0,top
C202,21.5,-26.82,90.0,top
C203,19.3,-28.4525,180.0,top
C204,21.5,-24.8025,270.0,top
C205,18.9,-22.43,0.0,top
C301,36.975,-23.175,270.0,top
C302,35.5,-9.5,0.0,top
C303,33.8,-26.275,180.0,top
C304,35.5,-12.5475,0.0,top
C305,31.3,-8.98,180.0,top
C306,31.85,-28.5575,270.0,top
C307,31.6,-10.64,180.0,top
C308,32.7,-12.5475,180.0,top
C309,37.7,-15.05,0.0,top
C310,29.05,-19.25,180.0,top
C311,28.25,-16.05,180.0,top
C312,30.375,-20.775,0.0,top
C313,26.55,-12.1,90.0,top
C401,22.25,-12.55,180.0,top
D201,16.525,-34.525,180.0,top
D301,16.525,-36.725,180.0,top
J301,29.0,-36.11,0.0,top
J401,7.135,-4.3975,0.0,top
J402,7.135,-12.3475,0.0,top
J403,7.135,-20.2975,0.0,top
J404,7.135,-28.2475,0.0,top
J405,7.135,-36.1975,0.0,top
L201,22.45,-28.5525,180.0,top
L301,35.0,-11.0,270.0,top
L302,33.2,-11.02,270.0,top
R201,17.25,-32.85,180.0,top
R301,23.35,-31.225,90.0,top
R302,34.65,-31.24,90.0,top
R303,35.85,-26.275,0.0,top
R304,28.75,-12.1,270.0,top
R305,25.025,-19.3,0.0,top
R306,25.025,-20.375,0.0,top
R307,27.65,-12.1,90.0,top
R308,17.275,-38.4,180.0,top
R401,25.025,-18.225,180.0,top
R402,22.25,-11.45,0.0,top
R403,23.45,-17.7475,90.0,top
R404,23.45,-15.7475,270.0,top
R405,13.4,-4.35,90.0,top
R406,13.4,-12.4,90.0,top
R407,13.4,-20.3,90.0,top
R408,13.4,-28.25,90.0,top
R409,13.4,-36.2,90.0,top
SW301,37.45,-35.95,270.0,top
SW302,20.95,-35.9,270.0,top
U201,19.1,-25.5025,0.0,top
U301,29.5,-28.06,270.0,top
U302,33.25,-16.8,270.0,top
U401,19.65,-15.925,90.0,top
Y301,34.625,-23.725,180.0,top
